date,200,500,3000,3000p
01-01-95,83645881,55197554,149342660,132725436
01-02-95,114516467,63877450,211187137,185613381
01-03-95,126770624,75420718,212567333,172619480
01-04-95,95476858,59410893,178034009,154756915
01-05-95,105674610,78572897,231525252,191548330
01-06-95,95526487,69542020,215764085,182466350
01-07-95,115276101,69375191,215281596,199412714
01-08-95,91194046,41552153,133557400,120858722
01-09-95,141984238,74223713,190033831,190981817
01-10-95,127562022,78555086,242555054,193667097
01-11-95,122326652,77810136,229899597,216020797
01-12-95,80427730,61102320,187780022,197726075
01-01-96,88357634,53842264,152134062,147280503
01-02-96,127346853,60367684,186897887,154263823
01-03-96,111263386,61562250,226495835,154045108
01-04-96,92558582,62574089,199506341,149089863
01-05-96,92796773,63503978,217683951,173694817
01-06-96,83491894,68453642,199383098,170558064
01-07-96,95930816,63598834,225804161,175693165
01-08-96,94822425,50815922,162846642,116250271
01-09-96,109408972,71235464,221417738,165790346
01-10-96,142811178,92514238,243914625,183644606
01-11-96,124041083,91871876,267540146,242159395
01-12-96,75060395,69635229,232366368,213794514
01-01-97,91309815,54371976,177651931,144264759
01-02-97,93513008,62128736,216567213,148089959
01-03-97,95758441,81364114,205547400,200008704
01-04-97,95080854,87086578,216940266,205034868
01-05-97,97347594,76073717,214819661,223535129
01-06-97,86134946,85783631,220892353,245748062
01-07-97,94510029,95197702,243050100,246375494
01-08-97,76567864,55459903,153060973,168135916
01-09-97,128751913,97578635,224098464,227175589
01-10-97,149129349,115156741,259894479,248445257
01-11-97,125123643,103100865,269163119,238551844
01-12-97,90008551,87790831,231695432,254215547
01-01-98,105316992,67105834,163688955,141237025
01-02-98,106526083,78821352,206502564,166623214
01-03-98,102531780,93389614,256052767,195169683
01-04-98,93192458,87100863,249628633,172888026
01-05-98,101845318,74277814,245507702,218354459
01-06-98,105441167,83106597,261684277,208838156
01-07-98,113272194,95925931,277270390,238036270
01-08-98,87784525,65367462,171117829,119708886
01-09-98,119336512,100046924,239118115,170622541
01-10-98,149752449,111120250,284109099,204129167
01-11-98,123652823,108778700,287521774,240986323
01-12-98,83416817,88255545,240106739,235959960
01-01-99,98185094,61771286,196138212,142864759
01-02-99,96195879,70276512,216334834,161328406
01-03-99,108834319,87316875,270233634,182986591
01-04-99,99140991,72001815,260638565,166797449
01-05-99,83803428,69144266,263654900,217461989
01-06-99,105676938,78424612,283745748,222606822
01-07-99,103674376,83875677,293266999,229150764
01-08-99,75627033,54565566,196605781,145007837
01-09-99,123918138,92792743,307208619,215898198
01-10-99,141040944,106788958,331314124,256676439
01-11-99,135822907,112333763,390372112,339141000
01-12-99,96787459,91845061,306796445,289034812
01-01-00,110806702,78189323,231328774,137912459
01-02-00,96714004,68403021,274039404,229325695
01-03-00,117871515,92979577,305725035,211149784
01-04-00,77469193,73585139,287773761,227179040
01-05-00,88617850,89797518,373900770,285358361
01-06-00,103209463,80723844,320627912,253565677
01-07-00,93487954,83676429,336669304,252888349
01-08-00,72595246,54269427,240728976,227854833
01-09-00,141425749,98982620,308620346,266186820
01-10-00,123379402,115400404,384368628,356039057
01-11-00,125885229,114488898,426922543,370177408
01-12-00,79763093,85300205,365529920,335577002
01-01-01,98951138,71578092,266495639,246450823
01-02-01,84354155,68104136,312428509,304639484
01-03-01,80559346,69225547,297378565,249461743
01-04-01,72221183,68874139,299152597,274797750
01-05-01,97072284,73941245,339277971,310713432
01-06-01,83673132,73751826,343138162,327384311
01-07-01,103928036,83546578,372953442,340430391
01-08-01,69877914,57323985,275201347,256452499
01-09-01,98922730,80236243,300880373,275910328
01-10-01,125823546,98990088,412559514,405291757
01-11-01,118869715,102669414,414343023,356071764
01-12-01,66667766,65690116,285444208,327453818
01-01-02,77522852,68076415,265298812,257084872
01-02-02,88750050,54146518,278857133,296828778
01-03-02,82435473,61933388,289731461,264103957
