date,World_expW,MidE_expW,FE_expW,EU_expW,US_expW,r_fx
01-01-93,473119329,24405932,144006609,173090293,59540906,NA
01-02-93,598161921,39601463,168955135,246786810,61814885,NA
01-03-93,626958948,33632755,171166022,253012827,69713762,NA
01-04-93,567046697,33532900,155880201,235854302,60386972,NA
01-05-93,645406192,38191876,195293395,249226820,63067203,NA
01-06-93,652850281,33049718,184918908,274546109,69438013,NA
01-07-93,624808443,30806698,181259878,223155953,88775440,NA
01-08-93,478753018,18142723,158325356,160049252,65609349,NA
01-09-93,649376075,34082072,164679632,266806956,92820423,NA
01-10-93,764797351,33012718,209749158,312414701,101850057,NA
01-11-93,832704401,53896735,232569662,326456327,88988797,NA
01-12-93,674691767,46173867,219920195,240600505,57373346,NA
01-01-94,541750356,31288770,175601165,166765463,53714756,100.83
01-02-94,620489592,48351696,184662433,223330765,66634354,101.3
01-03-94,680434650,32992491,222484961,248340917,70389034,101.71
01-04-94,570967598,34903302,171531570,212997510,64914769,101.06
01-05-94,653832297,27154416,217392801,235751225,72067602,100.36
01-06-94,665693388,34135842,211809327,238524108,73714904,101.89
01-07-94,664039170,25410716,229161316,228905522,71617384,103.16
01-08-94,494005062,22812646,163091823,166759266,62503147,103.66
01-09-94,662380429,27546450,193760218,255726171,81101685,104.57
01-10-94,820199448,37745639,233435054,303683450,117227720,105
01-11-94,875392344,50301530,253325342,331180142,113220707,103.14
01-12-94,709807570,47604960,206991100,249929284,77134665,101.96
01-01-95,489202241,25249992,161735385,158756638,69564838,104.26
01-02-95,660616192,32548391,217157152,230012443,79937668,105.09
01-03-95,688111764,35327637,228039724,250386643,77813606,109.96
01-04-95,560907701,22695234,183264479,193184943,72419427,110.91
01-05-95,699854726,33347893,213537246,270514039,91803582,108.65
01-06-95,658518936,27787446,219655925,231057348,90786032,108.82
01-07-95,680449982,30464178,213017121,237135700,95423088,108.39
01-08-95,460076239,19108536,145537491,153420410,55159398,107.59
01-09-95,689731753,29326676,208839448,270415875,95644157,109.1
01-10-95,740324565,35237637,226418966,285799185,85102498,111.1
01-11-95,740465810,43224176,216179468,289028055,87903019,111.25
01-12-95,606593395,39618642,183357308,218129115,62389464,110.21
01-01-96,515018620,25567111,190694466,159086157,58327081,109.77
01-02-96,615860339,36154382,184069173,236920873,68514610,108.25
01-03-96,639158806,35532966,209184296,220615561,78211443,108.32
01-04-96,578589918,30749216,181279186,205449281,78445146,106.91
01-05-96,627525100,28661111,212416445,215175259,77471247,104.21
01-06-96,601017289,34839989,190332346,211233810,82755854,103.92
01-07-96,639536210,29509927,200637347,218923793,100307583,104.92
01-08-96,478513938,23818113,145215997,162458556,78436707,107.09
01-09-96,645702228,28285863,195614573,238979220,91840337,105.04
01-10-96,741697367,38862825,198889611,284001069,124753258,103.36
01-11-96,805148458,48803288,234839847,288294744,123437033,100.57
01-12-96,663774056,50978621,183895586,238736053,81820759,97.85
01-01-97,527166345,32771654,180961094,170902656,64487276,95.27
01-02-97,593573708,31399964,179755315,220429532,75013081,93.82
01-03-97,654114527,36789871,204699316,216265849,81434635,93.77
01-04-97,683778542,45584343,190163978,245707360,98364197,94.15
01-05-97,682638978,39697909,214719125,245711530,98039359,95.24
01-06-97,715452072,43198564,216196034,253881287,96255161,94.84
01-07-97,758133207,42706819,232577202,260732144,110476712,93.99
01-08-97,511579279,17654860,160481798,169725861,90641423,94.26
01-09-97,759281932,39568027,207522655,291219709,112608909,95.45
01-10-97,864584285,52168157,220978341,335133685,132589116,95.73
01-11-97,824410007,51250017,209708335,324772382,113403925,97.95
01-12-97,736780127,57215617,190252938,275887988,105347897,98.35
01-01-98,539186681,39613174,134924443,210570930,75880206,97.88
01-02-98,632939868,39765801,169599071,253596820,88025071,97.93
01-03-98,726549440,46150120,208516485,264852861,105056903,96.11
01-04-98,678869162,36951688,187605364,251285612,111618990,94.34
01-05-98,715557655,44406050,181084409,285836853,113052167,95.17
01-06-98,737737496,39505236,183208845,304483872,120850744,95.17
01-07-98,802385642,39801480,194729988,322757136,138214884,94.09
01-08-98,501413355,21652253,125550482,201024373,86752809,95.75
01-09-98,705819906,37268918,144915244,293726457,131250817,98.88
01-10-98,830648845,38678270,189972423,364234470,135552346,100.61
01-11-98,836193264,44831759,190901918,355460513,134862822,98.37
01-12-98,714856079,51707609,184170310,289009769,105307905,99.61
01-01-99,557000060,26935351,161632321,210903526,75539619,98.8
01-02-99,609542284,34664960,159345281,240303654,101996361,98.5
01-03-99,734712838,36001764,217717335,268285581,114076044,97.66
01-04-99,666787311,39045717,170103915,250055288,111884998,96.35
01-05-99,696022812,31340219,191382594,249797580,125458731,95.68
01-06-99,761698907,40669545,191469613,300361383,133893441,95.28
01-07-99,785705423,39556071,210132365,298498416,142409203,94.61
01-08-99,525244586,23541405,141700636,187861344,95689093,95.77
