date,ME200,ME500,ME3000,ME3000p,FE200,FE500,FE3000,FE3000p,EU200,EU500,EU3000,EU3000p,US200,US500,US3000,US3000p,US4,EU4,FE4,MIDE4,PetIndex
01-01-95,3940661,6334037,6110408,8001858,11109805,12924884,61259245,62075898,48436221,14104464,38090926,30628267,12520877,12611022,24455145,13843731,63430775,131259878,147369832,24386964,34.05424653
01-02-95,6201286,7349792,8579724,9638728,13102988,17607824,85269523,79810513,72370143,19210983,58753642,49600328,14113349,9124378,29205032,18538077,70980836,199935096,195790848,31769530,35.06980347
01-03-95,6481202,9542293,7327784,11014497,15657561,16746931,95789968,75977884,81513247,20839906,62716527,48097344,14211737,14283791,23631982,16872026,68999536,213167024,204172344,34365776,35.0836717
01-04-95,4640398,6534033,4874349,5702690,12193060,14269148,74808503,63610927,60711865,15667669,51194987,39639236,10846422,12422346,26923366,15790726,65982860,167213757,164881638,21751470,37.37825524
01-05-95,3843185,5497692,8905090,14438158,15107262,23505708,86819474,66341453,65733452,19808344,78678447,68291513,12673406,18100965,32124487,19927142,82826000,232511756,191773897,32684125,36.90825864
01-06-95,3567512,6212402,7102225,9993545,11495602,18213610,90854707,74043488,56684129,19626714,65995548,53559059,15468969,14513418,31922925,19317923,81223235,195865450,194607407,26875684,35.35040265
01-07-95,6216518,6070441,6727333,10137086,15993274,19806808,86176695,71564973,66901087,18183850,62060428,60515517,15849660,14945028,29896724,25689068,86380480,207660882,193541750,29151378,33.25926381
01-08-95,4046702,3666776,3583178,6971370,13942439,8407381,56646829,48988230,52450881,12090454,34406464,31360946,12150009,9684098,14527123,13131016,49492246,130308745,127984879,18268026,33.81916049
01-09-95,5119982,6201386,6324458,10327382,17033542,20170766,73045684,73439000,85651516,21778040,66182726,61854299,23020550,15548361,25403238,23110848,87082997,235466581,183688992,27973208,34.31175766
01-10-95,5114045,5573911,9720944,13881149,17579376,15746507,99372489,71211792,75982992,29351266,74768926,63849018,16008283,16762839,27494045,15496012,75761179,243952202,203910164,34290049,33.50686956
01-11-95,5385053,6000435,10579488,19678556,16847029,17606068,83128591,76981719,68066681,28566692,83157460,71596860,17192027,12411617,30119220,19552177,79275041,251387693,194563407,41643532,34.38826185
01-12-95,4942789,6739346,9370840,17372801,15341966,13528159,69925464,62750621,39977330,21215011,61302970,66727373,12044800,9172012,17181366,16315820,54713998,189222684,161546210,38425776,36.38978882
01-01-96,3578681,5512607,6910896,8644293,18934051,16931926,73586452,62803294,48735283,12708915,35523859,31600421,9688015,11906340,16960876,14510571,53065802,128568478,172255723,24646477,36.28383864
01-02-96,5847920,7279300,7933918,12635564,17552890,18227220,78931054,52386734,77601952,16768159,54809568,50258026,14329615,7862752,23255174,14441028,59888569,199437705,167097898,33696702,36.46489283
01-03-96,7122059,6563466,9530539,11211826,16705095,15033243,95689486,58731135,62320845,19732087,59124677,45877053,15292007,11427878,25240774,17808167,69768826,187054662,186158959,34427890,38.89423158
01-04-96,5192491,6681458,7165534,10006623,15551451,18499272,74508003,53120679,52151422,17759759,58991919,48116032,11349557,12730566,29958178,16932468,70970769,177019132,161679405,29046106,40.78828136
