date,World_rGDPg,MidE_rGDPg,FE_rGDPg,EU_rGDPg,CH_impg,CH_expg,US_rGDP,US_imports
01-01-80,2.1,-2.8,4.2,1.3,8.905,6.969,-0.3,-7.449
01-01-81,1.9,-1.4,4.8,0,7.726,17.366,2.5,2.041
01-01-82,0.6,-1.7,4.8,0.8,1.103,-3.532,-1.8,-2.524
01-01-83,2.8,1.6,6,2,0.755,-5.378,4.6,13.593
01-01-84,4.6,-0.7,7.8,2.4,6.29,19.487,7.2,24.183
01-01-85,3.6,-0.2,7.3,2.5,6.054,7.801,4.2,6.256
01-01-86,3.7,1.6,5.8,2.7,13.751,3.021,3.5,10.233
01-01-87,3.9,0.3,7.7,3,-3.114,-5.046,3.5,4.663
01-01-88,4.6,2,8.5,4.1,5.929,10.977,4.2,4.053
01-01-89,3.8,4.1,5,3.4,8.954,6.313,3.7,4.304
01-01-90,3.4,9.8,5,2.5,6.932,4.467,1.9,2.915
01-01-91,2.6,8.1,5.8,1.2,-3.922,-3.099,-0.1,0.454
01-01-92,2.3,5.2,5.8,0.9,-0.865,4.317,3.5,9.426
01-01-93,2.1,1.8,5.3,-0.2,-3.519,-2.451,2.8,10.005
01-01-94,3.3,2.2,6.3,2.9,4.093,2.737,4,13.353
01-01-95,3.4,1.8,6.5,2.8,6.625,5.613,2.7,9.007
01-01-96,3.9,4.5,6.2,2.1,3.872,2.673,3.8,9.376
01-01-97,4,2.7,5,3,12.745,16.532,4.4,14.409
01-01-98,2.6,3.8,2.4,3,3.549,0.889,4.5,11.849
01-01-99,3.6,1.8,4.5,3,1.767,1.495,4.8,12.874
01-01-00,4.8,5.7,6.1,3.9,6.373,10.978,4.1,12.961
01-01-01,2.5,1.6,4.3,2.4,1.661,1.565,1,-3.361
01-01-02,3,3.4,5.3,1.5,-2.432,-0.892,1.7,3.659
01-01-03,4.3,11.1,5.9,1.5,1.571,0.287,2.9,5.814
01-01-04,5.4,9,6.8,2.6,2.16,10.2,3.8,11.44
01-01-05,4.9,5.4,7.2,2.3,11.012,5.392,3.5,7.032
01-01-06,5.5,5.8,8.2,3.6,3.652,7.07,2.9,6.236
01-01-07,5.6,5.1,9.4,3.3,5.841,10.587,1.9,2.062
01-01-08,3,4.6,5.7,0.7,5.984,5.292,-0.1,-3.363
01-01-09,-0.1,0.8,4.4,-4.2,-6.172,-12.258,-2.5,-15.305
01-01-10,5.4,4.9,8.8,2,8.374,17.544,2.6,15.442
01-01-11,4.3,4.4,6.7,1.8,9.558,7.81,1.6,6.143
01-01-12,3.5,4.9,5.8,-0.3,-5.594,-0.927,2.2,2.625
01-01-13,3.5,2.4,6,0.3,16.525,18.908,1.8,1.762
01-01-14,3.6,2.7,5.5,1.9,-11.918,-9.417,2.5,5.584
01-01-15,3.4,2.4,5.3,2.4,2.752,2.521,2.9,5.762
01-01-16,3.4,5.3,5.2,2.1,6.215,6.377,1.6,1.382
01-01-17,3.8,1.8,5.5,2.7,-1.512,-0.504,2.2,4.607
01-01-18,3.6,1.4,5.2,2.1,5.351,4.597,2.9,4.914
01-01-19,3.8,1.3,5,1.2,2.443,-1.235,2.6,4.316
01-01-20,3.5,3.2,4.9,1.1,3.61,-0.018,2.5,4.1
01-01-21,3.2,2.8,4.9,1,4.914,4.412,2.4,3.875
01-01-22,3.1,2.8,4.7,1,4.914,4.729,1.6,3.068
